,Model,FID,KID,d_loss,g_loss
0,Baseline CGAN 1,36.4500941897237,0.020337533910001593,0.11000107228755951,6.623448371887207
1,Baseline CGAN 2,38.60990676971198,0.023634487098442403,0.10886719822883606,6.457820415496826
2,Baseline CGAN 3,36.42854125848132,0.01870685997412158,0.1136544793844223,6.526492595672607
