,Model,FID,KID,d_loss,g_loss
0,Baseline WGAN 1,129.0749239362149,0.08539832181622398,0.515936553478241,-0.46976208686828613
1,Baseline WGAN 2,182.95591499046787,0.19004712310590843,0.5230479817837477,-0.04628158360719681
